TimePeriod,Inst g,Avg g,Lengths
12.6165,0.04464,0.04464,18.0
22.243,0.01436,0.19108,18.0
0.7015,14.44032,0.76638,18.0
0.9115,8.55301,0.292,18.0
0.705,14.2973,0.34996,18.0
6.235,0.18279,0.09428,18.0
2.169,1.51047,0.17978,18.0
1.783,2.23527,0.1246,18.0
26.283,0.00886,0.00205,15.5
1.698,2.12235,0.06148,15.5
1.684,2.15778,0.05245,15.5
3.874,0.40773,0.00892,15.5
4.198,0.34722,0.00751,15.5
42.912,0.00386,0.00386,18.0
1.826,2.13123,0.24037,18.0
3.524,0.57222,0.04175,18.0
20.03112,0.02361,0.02361,24.0
1.09972,7.83446,0.7949,24.0
13.05304,0.05561,0.05081,24.0
3.82815,0.64654,0.03986,24.0
1.54243,3.98253,0.17031,24.0
1.06153,8.4083,0.24669,24.0
19.931,0.01789,0.00675,18.0
1.349,3.90489,0.07512,18.0
2.693,0.97985,0.0163,18.0
22.781,0.00761,0.00761,10.0
6.173,0.18648,0.16413,18.0
0.6895,14.94733,1.07284,18.0
0.6645,16.0932,0.71297,18.0
0.703,14.37877,0.42867,18.0
0.766,12.11085,0.27181,18.0
2.188,1.48435,0.02844,18.0
1.282,4.32371,0.07231,18.0
0.6785,15.43592,0.21627,18.0
0.701,14.46093,0.19038,18.0
34.57991,0.00792,0.00264,24.0
0.87694,12.32045,0.13707,24.0
5.19943,0.35048,0.00468,24.0
5.6471,0.29711,0.00325,24.0
18.60679,0.02737,0.00029,24.0
56.67539,0.00295,0.00035,24.0
1.36492,5.08575,0.04348,24.0
14.72277,0.04371,0.00105,24.0
0.9505,10.48748,0.07828,24.0
1.73692,3.1406,0.02205,24.0
1.08699,8.01903,0.05416,24.0
1.08699,8.01903,0.05074,24.0
1.12093,7.54069,0.04461,24.0
1.13083,7.40923,0.04142,24.0
1.13083,7.40923,0.03902,24.0
1.13225,7.39073,0.03702,24.0
1.13366,7.3723,0.03496,24.0
12.71711,0.05859,0.00044,24.0
1.06719,8.31939,0.03569,24.0
1.1273,7.45578,0.03045,24.0
1.47383,4.36189,0.01709,24.0
1.46322,4.42536,0.01689,24.0
82.62801,0.00139,0.00011,24.0
18.81895,0.02675,0.00012,24.0
4.11881,0.55851,0.00202,24.0
6.29279,0.23927,0.00093,24.0
10.87836,0.08007,0.00029,24.0
11.65912,0.0697,0.00026,24.0
4.46322,0.47563,0.00184,24.0
0.72065,18.24405,0.06055,24.0
0.87624,12.34034,0.03925,24.0
0.77157,15.9155,0.04835,24.0
0.73409,17.58228,0.05127,24.0
1.14356,7.24519,0.02035,24.0
4.3819,0.49345,0.00144,24.0
4.44201,0.48019,0.00136,24.0
14.57355,0.04461,0.00012,24.0
0.72065,18.24405,0.04763,24.0
0.72631,17.96094,0.04582,24.0
0.70721,18.94392,0.04663,24.0
